,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
2798,UTTAR PRADESH,LALITPUR,2004,4,3,6,11,23,10,0
2799,UTTAR PRADESH,LUCKNOW,2004,46,135,48,64,152,272,0
2800,UTTAR PRADESH,MAHARAJGANJ,2004,8,11,8,11,31,7,0
2801,UTTAR PRADESH,MAHOBA,2004,6,7,5,14,9,3,0
2802,UTTAR PRADESH,MAINPURI,2004,8,36,35,13,3,34,0
2803,UTTAR PRADESH,MATHURA,2004,24,24,22,35,42,57,0
2804,UTTAR PRADESH,MAU,2004,3,15,9,11,22,24,0
2805,UTTAR PRADESH,MEERUT,2004,33,87,19,52,153,279,0
2806,UTTAR PRADESH,MIRZAPUR,2004,12,5,20,18,13,26,0
2807,UTTAR PRADESH,MORADABAD,2004,57,83,27,66,126,265,0
2808,UTTAR PRADESH,MUZAFFARNAGAR,2004,44,59,23,34,103,73,0
2809,UTTAR PRADESH,PILIBHIT,2004,28,39,21,37,52,163,0
2810,UTTAR PRADESH,PRATAPGARH,2004,18,30,22,19,5,37,0
2811,UTTAR PRADESH,RAIBAREILLY,2004,42,43,23,54,33,101,0
2812,UTTAR PRADESH,RAMPUR,2004,22,30,14,23,6,9,0
2813,UTTAR PRADESH,SAHARANPUR,2004,22,1,19,28,70,173,0
2814,UTTAR PRADESH,SANT KABIRNAGAR,2004,6,10,4,1,12,15,0
2815,UTTAR PRADESH,SHAHJAHANPUR,2004,31,53,41,49,24,21,0
2816,UTTAR PRADESH,SHRAWASTI,2004,4,9,6,7,4,0,0
2817,UTTAR PRADESH,SIDHARTHNAGAR,2004,10,17,16,13,4,27,0
2818,UTTAR PRADESH,SITAPUR,2004,72,83,71,73,34,79,0
2819,UTTAR PRADESH,SONBHADRA,2004,6,12,11,9,14,9,0
2820,UTTAR PRADESH,ST.RAVIDASNAGAR,2004,3,1,13,2,5,21,0
2821,UTTAR PRADESH,SULTANPUR,2004,18,31,17,21,32,53,0
2822,UTTAR PRADESH,UNNAO,2004,45,52,29,37,26,78,0
2823,UTTAR PRADESH,VARANASI,2004,15,20,30,7,53,52,0
2824,UTTAR PRADESH,TOTAL,2004,1397,2324,1708,1900,2682,4950,3
3486,UTTAR PRADESH,AGRA,2005,29,77,38,80,162,232,0
3487,UTTAR PRADESH,ALIGARH,2005,61,84,43,38,43,226,0
3488,UTTAR PRADESH,ALLAHABAD,2005,17,50,40,30,47,117,0
3489,UTTAR PRADESH,AMBEDKAR NAGAR,2005,11,31,13,14,9,42,0
3490,UTTAR PRADESH,AURAIYA,2005,9,22,22,15,8,26,0
3491,UTTAR PRADESH,AZAMGARH,2005,10,32,27,26,24,156,0
3492,UTTAR PRADESH,BADAUN,2005,22,60,32,39,22,47,0
3493,UTTAR PRADESH,BAGHPAT,2005,13,26,10,15,19,74,0
3494,UTTAR PRADESH,BAHRAICH,2005,25,39,21,20,38,21,0
3495,UTTAR PRADESH,BALLIA,2005,2,4,12,7,5,11,0
3496,UTTAR PRADESH,BALRAMPUR,2005,6,5,4,9,4,7,0
3497,UTTAR PRADESH,BANDA,2005,16,10,22,32,5,12,0
3498,UTTAR PRADESH,BARABANKI,2005,30,29,21,29,35,59,0
3499,UTTAR PRADESH,BAREILLY,2005,48,81,37,89,74,210,0
3500,UTTAR PRADESH,BASTI,2005,13,13,7,8,20,22,0
3501,UTTAR PRADESH,BIJNOR,2005,22,26,26,26,45,60,0
3502,UTTAR PRADESH,BULANDSHAHAR,2005,33,60,41,62,116,106,0
3503,UTTAR PRADESH,CHANDOLI,2005,6,3,9,5,50,10,0
3504,UTTAR PRADESH,CHITRAKOOT DHAM,2005,10,0,12,12,0,6,0
3505,UTTAR PRADESH,DEORIA,2005,7,17,17,7,5,27,0
3506,UTTAR PRADESH,ETAH,2005,16,33,43,34,26,62,0
3507,UTTAR PRADESH,ETAWAH,2005,12,28,29,20,35,26,0
3508,UTTAR PRADESH,FAIZABAD,2005,11,33,15,13,29,48,0
3509,UTTAR PRADESH,FATEHGARH,2005,10,20,14,7,15,26,0
3510,UTTAR PRADESH,FATEHPUR,2005,7,18,22,11,9,21,0
3511,UTTAR PRADESH,FIROZABAD,2005,17,44,48,16,42,57,0
3512,UTTAR PRADESH,G.R.P.,2005,3,1,1,15,26,0,0
3513,UTTAR PRADESH,GAUTAMBUDH NAGAR,2005,18,42,14,28,43,45,0
3514,UTTAR PRADESH,GHAZIABAD,2005,24,79,33,26,92,147,0
3515,UTTAR PRADESH,GHAZIPUR,2005,2,3,19,7,20,35,0
3516,UTTAR PRADESH,GONDA,2005,12,15,26,14,23,6,0
3517,UTTAR PRADESH,GORAKHPUR,2005,24,27,16,22,25,18,0
3518,UTTAR PRADESH,HAMIRPUR,2005,9,10,6,17,11,10,0
3519,UTTAR PRADESH,HARDOI,2005,31,32,25,51,48,47,0
3520,UTTAR PRADESH,HATHRAS,2005,12,20,20,34,35,86,0
3521,UTTAR PRADESH,J.P.NAGAR,2005,22,14,8,30,40,20,0
3522,UTTAR PRADESH,JALAUN,2005,3,8,21,13,37,17,0
3523,UTTAR PRADESH,JAUNPUR,2005,13,21,26,15,32,40,0
3524,UTTAR PRADESH,JHANSI,2005,3,9,13,14,37,38,0
3525,UTTAR PRADESH,KANNAUJ,2005,5,27,10,20,13,62,0
3526,UTTAR PRADESH,KANPUR DEHAT,2005,8,44,26,32,20,53,0
3527,UTTAR PRADESH,KANPUR NAGAR,2005,18,90,51,43,227,205,0
3528,UTTAR PRADESH,KAUSHAMBI,2005,9,7,13,11,7,21,0
3529,UTTAR PRADESH,KHIRI,2005,45,58,61,55,70,63,0
3530,UTTAR PRADESH,KUSHI NAGAR,2005,6,16,16,11,32,23,0
3531,UTTAR PRADESH,LALITPUR,2005,1,1,1,4,32,4,0
3532,UTTAR PRADESH,LUCKNOW,2005,51,136,44,71,204,281,0
3533,UTTAR PRADESH,MAHARAJGANJ,2005,9,14,9,14,21,6,0
3534,UTTAR PRADESH,MAHOBA,2005,4,1,4,3,12,2,0
3535,UTTAR PRADESH,MAINPURI,2005,5,22,22,8,5,17,0
3536,UTTAR PRADESH,MATHURA,2005,18,44,23,31,63,74,0
3537,UTTAR PRADESH,MAU,2005,5,6,10,10,47,29,0
3538,UTTAR PRADESH,MEERUT,2005,37,97,34,66,121,303,0
3539,UTTAR PRADESH,MIRZAPUR,2005,6,7,26,11,11,29,0
3540,UTTAR PRADESH,MORADABAD,2005,52,88,38,95,135,209,0
3541,UTTAR PRADESH,MUZAFFARNAGAR,2005,44,52,20,46,113,156,0
3542,UTTAR PRADESH,PILIBHIT,2005,24,28,20,23,33,15,0
